table,start,stop,time,value,Ofen,field,measurement
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:20Z,14018.508,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:22Z,14374.121,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:33Z,13944.876,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:34Z,14249.229,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:36Z,13950.947,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:37Z,11362.741,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:40Z,814.954,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:41Z,13819.816,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:43Z,14322.762,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:57Z,815.694,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:58Z,14323.906,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:59Z,13963.902,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:33:01Z,850.349,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:33:02Z,13978.891,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:33:03Z,814.92,Gifas_WBH,Scheinleistung,Energiedaten_WBH
